,text,sentiment
0,respond go,neutral
1,sooo sad miss san diego,negative
2,boss bully,negative
3,interview leave alone,negative
4,sons put release already buy,negative
5,http www dothebouncy com smf shameless plug best rangers forum earth,neutral
6,feed baby fun smile coo,positive
7,soooo high,neutral
8,,neutral
9,journey wow u become cooler hehe possible,positive
10,much love hopeful reckon chance minimal p never gonna get cake stuff,neutral
11,really really like song love story taylor swift,positive
12,sharpie run dangerously low ink,negative
13,want go music tonight lose voice,negative
14,test test lg env,neutral
15,uh oh sunburn,negative
16,ok try plot alternatives speak sigh,negative
17,sick past days thus hair look wierd didnt hat would look http tinyurl com mnf kw,negative
18,back home gonna miss every one,negative
19,hes,neutral
20,oh marly sorry hope find soon,neutral
21,play ghost online really interest new update kirin pet metamorph third job wait dragon pet,positive
22,clean house family comming later today,neutral
23,gotta restart computer think win suppose put end constant rebootiness,neutral
24,see wat mean bout foll w friidays call lose f llowers friday smh,neutral
25,free fillin app ipod fun im addict,positive
26,sorry,negative
27,way malaysia internet access twit,negative
28,juss come backk berkeleyy omg madd fun havent minute whassqoodd,positive
29,go sleep power cut noida power back work,negative
30,go home see new twitter design quite heavenly,positive
31,hope unni make audition fight dahye unni,positive
32,consolation get bmi test hahaha say obesed well much unhappy minutes,negative
33,funny cute kid,positive
34,ahhh sleep game gonna try best watch tomorrow though hope play army,neutral
35,thats end tear fear vs eric prydz dj hero http bite ly hpbg,neutral
36,bear raise nyc live texas past years still miss ny,negative
37,case wonder really busy today come add tons new blog update stay tune,neutral
38,soooooo sleeeeepy last day school today sniffle,negative
39,little happy wine jeje ok sm free time care jaja love day,positive
40,car happy big big dent boot hop theyre go write cross finger wait,neutral
41,im avid fan magazine love magazines,positive
42,mayday,neutral
43,ratt rock nashville tonite one thing suck encore like still fun show pearcy hott bad boy look,neutral
44,love available pm dear would love help convert vids,positive
45,girl hair salon ask shall trim eyebrows old feel,neutral
46,egh blah boooooooooooo dunno wanna go work hangovers suckkkkkk im drink mess,negative
47,visit friendster facebook,neutral
48,donbt like peel prawn also dont like go shop run money crawl round car look,negative
49,case get new one last week thrill mine,negative
50,check http twittersucks com connect tweeple hate twitter,neutral
51,also bore school third freelesson freistunde,neutral
52,hm us guess,neutral
53,u dissappointed past days,negative
54,romance zero funny,positive
55,rather early run morning runner,neutral
56,bah coworker run work late bag smack knee really hurt,negative
57,back later http plurk com p rp k,neutral
58,aw tear ace hearts hunchback,negative
59,fun speak,neutral
60,lose friends alone sleepy wanna go home,negative
61,haha yes,neutral
62,give easily,negative
63,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
64,mannnn get iphone im jealous http bite ly ngnar,negative
65,photoshoot,neutral
66,awesome work good friend,positive
67,yay play show tonight boo gonna soggy work right play,neutral
68,chilliin,positive
69,know agent let know,neutral
70,still smell smoke kitchenfire,neutral
71,celtics lakers rematch sound better think lol,positive
72,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,neutral
73,ride one catch one summer til pop open one,neutral
74,good gor juz yea kno ask yesterday tha hospital talk u say,neutral
75,ok pop say hi check things probably head guttah later tonight,neutral
76,wow really missin fam ily today baddd,negative
77,source say,neutral
78,sooo tire,negative
79,hey change twitter account even tell,neutral
80,thank yyyyyyyyyoooooooooouuuuu,positive
81,lucky kid wanna see loserville pity im oz,positive
82,fell asleep wait ride,neutral
83,sick flu like thing,negative
84,still reply simfinger problem irape parody video get response sorry guy,negative
85,happy star war day everyone enjoy holiday uk,positive
86,miles essex give plenty warn arrive time get least one free beers,neutral
87,snore annoy n keep sleep like right lol honestly wud miss eva leave love,neutral
88,miss bby wish go tomorrow make good,negative
89,well im work quite ready post publicly still beta test cool new script cod,positive
90,sweeeeet san fran awesome love,positive
91,mounce yes last way past bedtime,neutral
92,hi join twitter,neutral
93,wait sleep pills kick gonna tire work tomorrow,negative
94,eat ice cream get ready graduation,neutral
95,happy mother day mums,positive
96,casey go piddle little carpet prolly freak cause new get back,negative
97,hemp cloth marvelous unfortunately,negative
98,gonna read story bout adam lambert online bed nighty night,neutral
99,saw none baddie best,positive
100,im beach pretty,positive
101,certainly cheer huh,neutral
102,week post horrible traumatic jump cholla accident cholla next dirty trick piece start emerge hand ouch,negative
103,realy want go cause nice everybodys busy,negative
104,awesome ocean beach know way yourbiggestfan al big fan rs,positive
105,least get watch time let go pen,neutral
106,cool wear black time go,neutral
107,haha know work blip apart obvious thank reblipping song nice day,positive
108,safe trip joshy poo knock dead speech,positive
109,woof wish allow go,positive
110,u friendster add email adress add loco crime st com add leave comment,neutral
111,ticket,neutral
112,thank afrin nasal spray also get giant teacup tonight,positive
113,acsm unfathomable think one one keep comfort bedrooms yes,neutral
